CMDLINE /Users/pawanadhikari/Documents/Roadmap/MachineLearningMaths/.venv/bin/python3.14 ./deployment/main.py
MEM 1287.609375 1768286234.8902
MEM 1285.031250 1768286234.9954
MEM 1217.687500 1768286235.1006
MEM 1187.593750 1768286235.2017
MEM 1193.546875 1768286235.3069
MEM 1199.546875 1768286235.4119
MEM 1205.640625 1768286235.5170
MEM 1211.718750 1768286235.6221
MEM 1176.484375 1768286235.7272
MEM 1182.656250 1768286235.8325
MEM 1122.109375 1768286235.9359
MEM 1030.187500 1768286236.0411
MEM 1035.859375 1768286236.1462
MEM 1022.343750 1768286236.2514
MEM 992.281250 1768286236.3565
MEM 974.765625 1768286236.4617
MEM 980.859375 1768286236.5668
MEM 986.984375 1768286236.6720
MEM 966.921875 1768286236.7735
MEM 920.875000 1768286236.8787
MEM 910.750000 1768286236.9838
MEM 918.390625 1768286237.0889
MEM 919.218750 1768286237.1933
MEM 915.453125 1768286237.2984
MEM 926.906250 1768286237.4036
MEM 952.937500 1768286237.5087
MEM 917.468750 1768286237.6141
MEM 617.750000 1768286237.7162
MEM 617.750000 1768286237.8176
MEM 617.750000 1768286237.9225
MEM 617.750000 1768286238.0235
MEM 617.750000 1768286238.1286
MEM 675.125000 1768286238.2337
MEM 774.078125 1768286238.3389
MEM 863.078125 1768286238.4391
MEM 956.265625 1768286238.5401
MEM 1052.953125 1768286238.6453
MEM 1138.828125 1768286238.7479
MEM 1232.750000 1768286238.8530
MEM 1328.125000 1768286238.9568
MEM 1334.546875 1768286239.0619
MEM 1334.671875 1768286239.1670
MEM 1335.281250 1768286239.2722
MEM 1345.859375 1768286239.3774
MEM 1346.046875 1768286239.4813
MEM 1346.078125 1768286239.5849
MEM 1348.062500 1768286239.6900
MEM 1348.093750 1768286239.7952
MEM 1348.109375 1768286239.9004
MEM 1348.125000 1768286240.0054
MEM 1359.156250 1768286240.1106
MEM 1359.171875 1768286240.2157
MEM 1359.171875 1768286240.3164
MEM 1369.390625 1768286240.4215
MEM 1369.390625 1768286240.5245
MEM 1369.390625 1768286240.6296
MEM 1373.015625 1768286240.7347
MEM 1373.031250 1768286240.8398
MEM 1373.046875 1768286240.9450
MEM 1373.046875 1768286241.0502
MEM 1373.875000 1768286241.1556
MEM 1373.875000 1768286241.2608
MEM 1373.890625 1768286241.3660
MEM 1379.875000 1768286241.4711
MEM 1379.875000 1768286241.5735
MEM 1379.890625 1768286241.6785
MEM 1390.703125 1768286241.7836
MEM 1419.406250 1768286241.8887
MEM 1419.406250 1768286241.9901
MEM 1419.406250 1768286242.0953
MEM 1510.515625 1768286242.2005
MEM 1510.515625 1768286242.3056
MEM 1510.578125 1768286242.4078
MEM 1510.625000 1768286242.5128
MEM 1596.625000 1768286242.6179
MEM 1639.140625 1768286242.7231
MEM 1642.687500 1768286242.8234
MEM 1592.703125 1768286242.9286
MEM 1442.609375 1768286243.0337
MEM 1345.437500 1768286243.1389
MEM 1325.703125 1768286243.2403
MEM 1363.781250 1768286243.3454
MEM 1395.484375 1768286243.4506
MEM 1418.562500 1768286243.5557
MEM 1454.250000 1768286243.6562
MEM 1507.078125 1768286243.7614
